1967 04 21 0814 126.688 -5.401 10.0 6.20 MW bibliog
1975 07 21 0008 127.449 -4.315 30.0 5.97 MW 
1980 05 15 1858 125.744 -6.201 40.3 6.41 MW gcmt
1981 09 17 0619 127.861 -6.460 35.0 6.11 MW gcmt
1983 03 12 0136 127.778 -4.143 30.0 6.58 MW gcmt
1984 06 06 0538 125.978 -4.784 39.5 6.15 MW gcmt
1986 07 01 0603 128.061 -4.755 43.9 5.88 MW gcmt
1992 06 23 0452 129.100 -3.486 87.2 5.76 MW gcmt
1996 12 30 1941 128.181 -4.032 25.0 6.01 MW gcmt
1998 02 19 1414 129.055 -4.504 20.0 6.50 MW gcmt
2000 08 28 1505 127.489 -4.170 20.0 6.77 MW gcmt
2003 03 30 1813 127.494 -3.235 34.5 6.20 MW gcmt
2006 03 14 0657 127.257 -3.609 28.1 6.72 MW gcmt
2006 05 22 2053 126.930 -4.726 15.0 6.11 MW gcmt
2012 10 08 1143 129.231 -4.526 25.0 6.18 MW gcmt
2014 05 02 0843 127.403 -3.811 17.8 5.78 MW gcmt
