MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.0500000000000003,24,120,6.2278e-01,2.9956e+00,2.9478e+00
3.1500000000000004,23,96,5.9683e-01,2.3728e+00,2.3726e+00
3.2500000000000004,11,73,2.8544e-01,1.7760e+00,1.9097e+00
3.3500000000000005,14,62,3.6329e-01,1.4906e+00,1.5371e+00
3.4500000000000006,9,48,2.3354e-01,1.1273e+00,1.2371e+00
3.5500000000000007,6,39,1.5570e-01,8.9373e-01,9.9573e-01
3.650000000000001,7,33,1.8164e-01,7.3803e-01,8.0142e-01
3.750000000000001,3,26,7.7848e-02,5.5639e-01,6.4502e-01
3.850000000000001,3,23,7.7848e-02,4.7854e-01,5.1913e-01
3.950000000000001,4,20,8.4145e-02,4.0069e-01,4.1781e-01
4.050000000000001,2,16,4.2073e-02,3.1655e-01,3.3625e-01
4.150000000000001,4,14,8.4145e-02,2.7448e-01,2.7061e-01
4.250000000000002,3,10,6.3109e-02,1.9033e-01,2.1777e-01
4.350000000000001,0,7,0.0000e+00,1.2722e-01,1.7524e-01
4.450000000000001,2,7,4.2073e-02,1.2722e-01,1.4101e-01
4.550000000000002,1,5,1.7380e-02,8.5149e-02,1.1346e-01
4.650000000000002,1,4,1.7380e-02,6.7769e-02,9.1282e-02
4.750000000000002,0,3,0.0000e+00,5.0389e-02,7.3432e-02
4.850000000000001,0,3,0.0000e+00,5.0389e-02,5.9064e-02
4.950000000000002,1,3,1.6796e-02,5.0389e-02,4.7500e-02
5.0500000000000025,1,2,1.6796e-02,3.3593e-02,3.8192e-02
5.150000000000002,0,1,0.0000e+00,1.6796e-02,3.0699e-02
5.250000000000002,0,1,0.0000e+00,1.6796e-02,2.4669e-02
5.350000000000002,0,1,0.0000e+00,1.6796e-02,1.9815e-02
5.450000000000003,0,1,0.0000e+00,1.6796e-02,1.5908e-02
5.5500000000000025,1,1,1.6796e-02,1.6796e-02,1.2763e-02
5.650000000000002,0,0,0.0000e+00,0.0000e+00,1.0232e-02
5.750000000000003,0,0,0.0000e+00,0.0000e+00,8.1950e-03
5.850000000000003,0,0,0.0000e+00,0.0000e+00,6.5552e-03
5.950000000000003,0,0,0.0000e+00,0.0000e+00,5.2353e-03
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,4.1729e-03
6.150000000000003,0,0,0.0000e+00,0.0000e+00,3.3178e-03
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,2.6295e-03
6.350000000000003,0,0,0.0000e+00,0.0000e+00,2.0756e-03
6.450000000000003,0,0,0.0000e+00,0.0000e+00,1.6296e-03
6.550000000000003,0,0,0.0000e+00,0.0000e+00,1.2707e-03
6.650000000000004,0,0,0.0000e+00,0.0000e+00,9.8185e-04
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,7.4933e-04
6.850000000000003,0,0,0.0000e+00,0.0000e+00,5.6217e-04
6.950000000000004,0,0,0.0000e+00,0.0000e+00,4.1153e-04
7.050000000000004,0,0,0.0000e+00,0.0000e+00,2.9027e-04
7.150000000000004,0,0,0.0000e+00,0.0000e+00,1.9268e-04
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,1.1412e-04
7.350000000000005,0,0,0.0000e+00,0.0000e+00,5.0893e-05
7.450000000000005,0,0,0.0000e+00,0.0000e+00,0.0000e+00
