MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.05,254,1022,6.5911e+00,2.5521e+01,2.3628e+01,1.0097e-01
3.15,129,768,3.3474e+00,1.8930e+01,1.8928e+01,8.0888e-02
3.25,100,639,2.5949e+00,1.5582e+01,1.5163e+01,6.4799e-02
3.35,144,539,3.7367e+00,1.2987e+01,1.2147e+01,5.1910e-02
3.45,77,395,1.9981e+00,9.2507e+00,9.7311e+00,4.1584e-02
3.55,57,318,1.4791e+00,7.2526e+00,7.7954e+00,3.3313e-02
3.65,53,261,1.3753e+00,5.7735e+00,6.2447e+00,2.6686e-02
3.75,36,208,9.3417e-01,4.3982e+00,5.0024e+00,2.1377e-02
3.85,17,172,4.4114e-01,3.4641e+00,4.0072e+00,1.7124e-02
3.95,33,155,6.9420e-01,3.0229e+00,3.2100e+00,1.3717e-02
4.05,19,122,3.9969e-01,2.3287e+00,2.5713e+00,1.0988e-02
4.15,22,103,4.6280e-01,1.9290e+00,2.0596e+00,8.8014e-03
4.25,9,81,1.8933e-01,1.4662e+00,1.6497e+00,7.0497e-03
4.35,15,72,3.1554e-01,1.2769e+00,1.3213e+00,5.6464e-03
4.45,10,57,2.1036e-01,9.6136e-01,1.0582e+00,4.5222e-03
4.55,9,47,1.5642e-01,7.5100e-01,8.4750e-01,3.6217e-03
4.65,7,38,1.2166e-01,5.9457e-01,6.7867e-01,2.9002e-03
4.75,3,31,5.2141e-02,4.7291e-01,5.4341e-01,2.3222e-03
4.85,2,28,3.4760e-02,4.2077e-01,4.3506e-01,1.8592e-03
4.95,10,26,1.6796e-01,3.8601e-01,3.4826e-01,1.4882e-03
5.05,4,16,6.7185e-02,2.1805e-01,2.7872e-01,1.1911e-03
5.15,4,12,6.7185e-02,1.5086e-01,2.2302e-01,9.5303e-04
5.25,1,8,1.6796e-02,8.3678e-02,1.7839e-01,7.6232e-04
5.35,0,7,0.0000e+00,6.6882e-02,1.4264e-01,6.0954e-04
5.45,0,7,0.0000e+00,6.6882e-02,1.1400e-01,4.8715e-04
5.55,1,7,1.6796e-02,6.6882e-02,9.1052e-02,3.8910e-04
5.65,0,6,0.0000e+00,5.0085e-02,7.2670e-02,3.1055e-04
5.75,0,6,0.0000e+00,5.0085e-02,5.7945e-02,2.4762e-04
5.85,0,6,0.0000e+00,5.0085e-02,4.6148e-02,1.9721e-04
5.95,0,6,0.0000e+00,5.0085e-02,3.6698e-02,1.5682e-04
6.05,1,6,8.8860e-03,5.0085e-02,2.9127e-02,1.2447e-04
6.15,3,5,2.6658e-02,4.1200e-02,2.3062e-02,9.8553e-05
6.25,0,2,0.0000e+00,1.4542e-02,1.8203e-02,7.7789e-05
6.35,0,2,0.0000e+00,1.4542e-02,1.4311e-02,6.1156e-05
6.45,0,2,0.0000e+00,1.4542e-02,1.1193e-02,4.7830e-05
6.55,1,2,7.2708e-03,1.4542e-02,8.6945e-03,3.7155e-05
6.65,0,1,0.0000e+00,7.2708e-03,6.6933e-03,2.8603e-05
6.75,1,1,7.2708e-03,7.2708e-03,5.0901e-03,2.1752e-05
6.85,0,0,0.0000e+00,0.0000e+00,3.8058e-03,1.6263e-05
6.95,0,0,0.0000e+00,0.0000e+00,2.7769e-03,1.1867e-05
7.05,0,0,0.0000e+00,0.0000e+00,1.9526e-03,8.3442e-06
7.15,0,0,0.0000e+00,0.0000e+00,1.2923e-03,5.5223e-06
7.25,0,0,0.0000e+00,0.0000e+00,7.6328e-04,3.2618e-06
7.35,0,0,0.0000e+00,0.0000e+00,3.3950e-04,1.4508e-06
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
