MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.75,29,139,7.5253e-01,3.5158e+00,3.1961e+00,7.8354e-02
2.85,19,110,4.9304e-01,2.7633e+00,2.6751e+00,6.5584e-02
2.95,15,91,3.8924e-01,2.2703e+00,2.2391e+00,5.4894e-02
3.05,12,76,3.1139e-01,1.8810e+00,1.8741e+00,4.5945e-02
3.15,10,64,2.5949e-01,1.5696e+00,1.5686e+00,3.8455e-02
3.25,15,54,3.8924e-01,1.3101e+00,1.3128e+00,3.2185e-02
3.35,2,39,5.1898e-02,9.2090e-01,1.0987e+00,2.6937e-02
3.45,5,37,1.2975e-01,8.6901e-01,9.1955e-01,2.2544e-02
3.55,6,32,1.5570e-01,7.3926e-01,7.6955e-01,1.8866e-02
3.65,5,26,1.2975e-01,5.8356e-01,6.4399e-01,1.5788e-02
3.75,2,21,5.1898e-02,4.5382e-01,5.3889e-01,1.3211e-02
3.85,2,19,5.1898e-02,4.0192e-01,4.5091e-01,1.1055e-02
3.95,1,17,2.5949e-02,3.5002e-01,3.7727e-01,9.2491e-03
4.05,1,16,2.5949e-02,3.2407e-01,3.1562e-01,7.7378e-03
4.15,4,15,8.4145e-02,2.9812e-01,2.6402e-01,6.4728e-03
4.25,4,11,8.4145e-02,2.1398e-01,2.2083e-01,5.4139e-03
4.35,0,7,0.0000e+00,1.2983e-01,1.8468e-01,4.5275e-03
4.45,1,7,2.1036e-02,1.2983e-01,1.5441e-01,3.7856e-03
4.55,2,6,4.2073e-02,1.0880e-01,1.2908e-01,3.1645e-03
4.65,2,4,4.2073e-02,6.6724e-02,1.0787e-01,2.6446e-03
4.75,0,2,0.0000e+00,2.4651e-02,9.0124e-02,2.2095e-03
4.85,0,2,0.0000e+00,2.4651e-02,7.5265e-02,1.8452e-03
4.95,1,2,1.7380e-02,2.4651e-02,6.2828e-02,1.5403e-03
5.05,0,1,0.0000e+00,7.2708e-03,5.2417e-02,1.2851e-03
5.15,0,1,0.0000e+00,7.2708e-03,4.3702e-02,1.0714e-03
5.25,0,1,0.0000e+00,7.2708e-03,3.6408e-02,8.9257e-04
5.35,0,1,0.0000e+00,7.2708e-03,3.0301e-02,7.4287e-04
5.45,0,1,0.0000e+00,7.2708e-03,2.5190e-02,6.1756e-04
5.55,0,1,0.0000e+00,7.2708e-03,2.0912e-02,5.1267e-04
5.65,0,1,0.0000e+00,7.2708e-03,1.7330e-02,4.2487e-04
5.75,0,1,0.0000e+00,7.2708e-03,1.4332e-02,3.5137e-04
5.85,0,1,0.0000e+00,7.2708e-03,1.1823e-02,2.8985e-04
5.95,0,1,0.0000e+00,7.2708e-03,9.7225e-03,2.3836e-04
6.05,0,1,0.0000e+00,7.2708e-03,7.9642e-03,1.9525e-04
6.15,0,1,0.0000e+00,7.2708e-03,6.4924e-03,1.5917e-04
6.25,0,1,0.0000e+00,7.2708e-03,5.2604e-03,1.2896e-04
6.35,0,1,0.0000e+00,7.2708e-03,4.2291e-03,1.0368e-04
6.45,0,1,0.0000e+00,7.2708e-03,3.3659e-03,8.2518e-05
6.55,0,1,0.0000e+00,7.2708e-03,2.6433e-03,6.4803e-05
6.65,0,1,0.0000e+00,7.2708e-03,2.0385e-03,4.9975e-05
6.75,1,1,7.2708e-03,7.2708e-03,1.5322e-03,3.7562e-05
6.85,0,0,0.0000e+00,0.0000e+00,1.1084e-03,2.7172e-05
6.95,0,0,0.0000e+00,0.0000e+00,7.5360e-04,1.8475e-05
7.05,0,0,0.0000e+00,0.0000e+00,4.5664e-04,1.1195e-05
7.15,0,0,0.0000e+00,0.0000e+00,2.0807e-04,5.1010e-06
7.25,0,0,0.0000e+00,0.0000e+00,-1.6615e-18,-4.0733e-20
