MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.65,4,23,9.4036e-02,5.4071e-01,6.3364e-01,4.8871e-02
2.75,2,19,4.7018e-02,4.4667e-01,5.0934e-01,3.9284e-02
2.85,3,17,7.0527e-02,3.9965e-01,4.0942e-01,3.1578e-02
2.95,3,14,7.0527e-02,3.2913e-01,3.2911e-01,2.5384e-02
3.05,3,11,7.0527e-02,2.5860e-01,2.6455e-01,2.0404e-02
3.15,0,8,0.0000e+00,1.8807e-01,2.1265e-01,1.6401e-02
3.25,3,8,7.0527e-02,1.8807e-01,1.7093e-01,1.3184e-02
3.35,2,5,4.7018e-02,1.1755e-01,1.3740e-01,1.0597e-02
3.45,2,3,4.7018e-02,7.0527e-02,1.1044e-01,8.5184e-03
3.55,0,1,0.0000e+00,2.3509e-02,8.8776e-02,6.8471e-03
3.65,1,1,2.3509e-02,2.3509e-02,7.1358e-02,5.5037e-03
3.75,0,0,0.0000e+00,0.0000e+00,5.7357e-02,4.4239e-03
3.85,0,0,0.0000e+00,0.0000e+00,4.6103e-02,3.5558e-03
3.95,0,0,0.0000e+00,0.0000e+00,3.7056e-02,2.8580e-03
4.05,0,0,0.0000e+00,0.0000e+00,2.9783e-02,2.2971e-03
4.15,0,0,0.0000e+00,0.0000e+00,2.3938e-02,1.8463e-03
4.25,0,0,0.0000e+00,0.0000e+00,1.9239e-02,1.4838e-03
4.35,0,0,0.0000e+00,0.0000e+00,1.5461e-02,1.1925e-03
4.45,0,0,0.0000e+00,0.0000e+00,1.2425e-02,9.5831e-04
4.55,0,0,0.0000e+00,0.0000e+00,9.9841e-03,7.7006e-04
4.65,0,0,0.0000e+00,0.0000e+00,8.0222e-03,6.1873e-04
4.75,0,0,0.0000e+00,0.0000e+00,6.4451e-03,4.9710e-04
4.85,0,0,0.0000e+00,0.0000e+00,5.1773e-03,3.9932e-04
4.95,0,0,0.0000e+00,0.0000e+00,4.1582e-03,3.2072e-04
5.05,0,0,0.0000e+00,0.0000e+00,3.3391e-03,2.5754e-04
5.15,0,0,0.0000e+00,0.0000e+00,2.6806e-03,2.0675e-04
5.25,0,0,0.0000e+00,0.0000e+00,2.1513e-03,1.6592e-04
5.35,0,0,0.0000e+00,0.0000e+00,1.7258e-03,1.3311e-04
5.45,0,0,0.0000e+00,0.0000e+00,1.3838e-03,1.0673e-04
5.55,0,0,0.0000e+00,0.0000e+00,1.1089e-03,8.5524e-05
5.65,0,0,0.0000e+00,0.0000e+00,8.8785e-04,6.8478e-05
5.75,0,0,0.0000e+00,0.0000e+00,7.1020e-04,5.4777e-05
5.85,0,0,0.0000e+00,0.0000e+00,5.6740e-04,4.3763e-05
5.95,0,0,0.0000e+00,0.0000e+00,4.5261e-04,3.4909e-05
6.05,0,0,0.0000e+00,0.0000e+00,3.6034e-04,2.7792e-05
6.15,0,0,0.0000e+00,0.0000e+00,2.8617e-04,2.2072e-05
6.25,0,0,0.0000e+00,0.0000e+00,2.2654e-04,1.7473e-05
6.35,0,0,0.0000e+00,0.0000e+00,1.7862e-04,1.3776e-05
6.45,0,0,0.0000e+00,0.0000e+00,1.4009e-04,1.0805e-05
6.55,0,0,0.0000e+00,0.0000e+00,1.0912e-04,8.4165e-06
6.65,0,0,0.0000e+00,0.0000e+00,8.4229e-05,6.4964e-06
6.75,0,0,0.0000e+00,0.0000e+00,6.4218e-05,4.9530e-06
6.85,0,0,0.0000e+00,0.0000e+00,4.8133e-05,3.7124e-06
6.95,0,0,0.0000e+00,0.0000e+00,3.5203e-05,2.7151e-06
7.05,0,0,0.0000e+00,0.0000e+00,2.4809e-05,1.9135e-06
7.15,0,0,0.0000e+00,0.0000e+00,1.6454e-05,1.2691e-06
7.25,0,0,0.0000e+00,0.0000e+00,9.7382e-06,7.5109e-07
7.35,0,0,0.0000e+00,0.0000e+00,4.3396e-06,3.3471e-07
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
