MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.65,7,87,1.6456e-01,2.0184e+00,6.0908e+00,9.6096e-02
2.75,9,80,2.1158e-01,1.8539e+00,4.8960e+00,7.7245e-02
2.85,9,71,2.1158e-01,1.6423e+00,3.9356e+00,6.2092e-02
2.95,8,62,1.8807e-01,1.4307e+00,3.1636e+00,4.9912e-02
3.05,4,54,9.4036e-02,1.2426e+00,2.5430e+00,4.0121e-02
3.15,7,50,1.6456e-01,1.1486e+00,2.0441e+00,3.2250e-02
3.25,4,43,9.4036e-02,9.8404e-01,1.6431e+00,2.5923e-02
3.35,4,39,9.4036e-02,8.9000e-01,1.3208e+00,2.0838e-02
3.45,7,35,1.6456e-01,7.9597e-01,1.0616e+00,1.6750e-02
3.55,6,28,1.4105e-01,6.3140e-01,8.5336e-01,1.3464e-02
3.65,2,22,4.7018e-02,4.9035e-01,6.8593e-01,1.0822e-02
3.75,0,20,0.0000e+00,4.4333e-01,5.5135e-01,8.6987e-03
3.85,4,20,9.4036e-02,4.4333e-01,4.4316e-01,6.9918e-03
3.95,1,16,2.3509e-02,3.4930e-01,3.5620e-01,5.6198e-03
4.05,2,15,4.7018e-02,3.2579e-01,2.8629e-01,4.5169e-03
4.15,0,13,0.0000e+00,2.7877e-01,2.3010e-01,3.6303e-03
4.25,3,13,7.0527e-02,2.7877e-01,1.8493e-01,2.9177e-03
4.35,2,10,4.7018e-02,2.0824e-01,1.4862e-01,2.3448e-03
4.45,1,8,2.3509e-02,1.6122e-01,1.1943e-01,1.8843e-03
4.55,1,7,2.3509e-02,1.3771e-01,9.5972e-02,1.5142e-03
4.65,2,6,3.8069e-02,1.1421e-01,7.7113e-02,1.2166e-03
4.75,1,4,1.9034e-02,7.6137e-02,6.1953e-02,9.7744e-04
4.85,0,3,0.0000e+00,5.7103e-02,4.9767e-02,7.8518e-04
4.95,0,3,0.0000e+00,5.7103e-02,3.9971e-02,6.3063e-04
5.05,0,3,0.0000e+00,5.7103e-02,3.2097e-02,5.0640e-04
5.15,1,3,1.9034e-02,5.7103e-02,2.5767e-02,4.0653e-04
5.25,1,2,1.9034e-02,3.8069e-02,2.0679e-02,3.2626e-04
5.35,0,1,0.0000e+00,1.9034e-02,1.6589e-02,2.6173e-04
5.45,0,1,0.0000e+00,1.9034e-02,1.3302e-02,2.0986e-04
5.55,0,1,0.0000e+00,1.9034e-02,1.0659e-02,1.6817e-04
5.65,0,1,0.0000e+00,1.9034e-02,8.5345e-03,1.3465e-04
5.75,0,1,0.0000e+00,1.9034e-02,6.8268e-03,1.0771e-04
5.85,0,1,0.0000e+00,1.9034e-02,5.4541e-03,8.6051e-05
5.95,0,1,0.0000e+00,1.9034e-02,4.3507e-03,6.8642e-05
6.05,1,1,1.9034e-02,1.9034e-02,3.4638e-03,5.4648e-05
6.15,0,0,0.0000e+00,0.0000e+00,2.7508e-03,4.3399e-05
6.25,0,0,0.0000e+00,0.0000e+00,2.1777e-03,3.4357e-05
6.35,0,0,0.0000e+00,0.0000e+00,1.7170e-03,2.7089e-05
6.45,0,0,0.0000e+00,0.0000e+00,1.3466e-03,2.1246e-05
6.55,0,0,0.0000e+00,0.0000e+00,1.0489e-03,1.6549e-05
6.65,0,0,0.0000e+00,0.0000e+00,8.0965e-04,1.2774e-05
6.75,0,0,0.0000e+00,0.0000e+00,6.1730e-04,9.7392e-06
6.85,0,0,0.0000e+00,0.0000e+00,4.6268e-04,7.2997e-06
6.95,0,0,0.0000e+00,0.0000e+00,3.3839e-04,5.3388e-06
7.05,0,0,0.0000e+00,0.0000e+00,2.3848e-04,3.7625e-06
7.15,0,0,0.0000e+00,0.0000e+00,1.5817e-04,2.4954e-06
7.25,0,0,0.0000e+00,0.0000e+00,9.3609e-05,1.4769e-06
7.35,0,0,0.0000e+00,0.0000e+00,4.1715e-05,6.5814e-07
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
