1962 09 29 0131 150.030 -34.480 26.0 4.20 MW CAN
1968 07 21 1831 150.160 -35.140 13.0 2.50 MW CAN
1970 11 05 0318 149.750 -36.590 8.0 2.80 MW CAN
1971 09 18 0337 150.200 -35.530 0.0 3.10 MW CAN
1973 03 22 2241 147.850 -37.730 0.0 3.10 MW CAN
1974 07 10 2241 149.630 -35.350 0.0 2.50 MW CAN
1978 01 08 2029 149.660 -35.800 29.0 2.80 MW CAN
1980 08 21 0909 149.730 -36.060 26.0 2.50 MW CAN
1981 08 06 0616 148.640 -37.170 13.0 2.50 MW CAN
1983 08 31 0906 149.740 -35.290 20.0 2.60 MW CAN
1986 06 23 0629 149.858 -34.922 15.0 2.80 MW BMR
1987 06 13 0434 149.696 -36.605 15.9 2.60 MW MEL
1987 07 03 0742 150.190 -34.500 5.0 2.60 MW CAN
1990 04 01 1204 149.738 -36.662 5.6 2.90 MW MEL
2006 02 04 1631 148.168 -37.465 13.1 3.90 MW MEL
2017 03 17 1051 149.592 -36.625 10.0 2.50 MW AUST
