MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
5.75,4,25,1.0001e-01,5.7130e-01,5.6659e-01,4.2144e-02
5.85,1,21,2.5002e-02,4.7129e-01,4.5462e-01,3.3815e-02
5.95,5,20,1.2501e-01,4.4629e-01,3.6459e-01,2.7119e-02
6.05,3,15,7.5005e-02,3.2128e-01,2.9221e-01,2.1735e-02
6.15,4,12,1.0001e-01,2.4628e-01,2.3402e-01,1.7406e-02
6.25,1,8,1.9609e-02,1.4627e-01,1.8723e-01,1.3926e-02
6.35,2,7,3.9218e-02,1.2666e-01,1.4961e-01,1.1128e-02
6.45,0,5,0.0000e+00,8.7445e-02,1.1936e-01,8.8785e-03
6.55,0,5,0.0000e+00,8.7445e-02,9.5047e-02,7.0697e-03
6.65,0,5,0.0000e+00,8.7445e-02,7.5496e-02,5.6155e-03
6.75,1,5,1.9609e-02,8.7445e-02,5.9776e-02,4.4463e-03
6.85,0,4,0.0000e+00,6.7836e-02,4.7138e-02,3.5062e-03
6.95,0,4,0.0000e+00,6.7836e-02,3.6977e-02,2.7504e-03
7.05,1,4,1.9609e-02,6.7836e-02,2.8808e-02,2.1428e-03
7.15,1,3,1.9609e-02,4.8227e-02,2.2239e-02,1.6542e-03
7.25,0,2,0.0000e+00,2.8618e-02,1.6958e-02,1.2614e-03
7.35,0,2,0.0000e+00,2.8618e-02,1.2712e-02,9.4557e-04
7.45,1,2,1.9609e-02,2.8618e-02,9.2988e-03,6.9166e-04
7.55,0,1,0.0000e+00,9.0092e-03,6.5542e-03,4.8751e-04
7.65,0,1,0.0000e+00,9.0092e-03,4.3475e-03,3.2337e-04
7.75,0,1,0.0000e+00,9.0092e-03,2.5733e-03,1.9141e-04
7.85,0,1,0.0000e+00,9.0092e-03,1.1469e-03,8.5305e-05
7.95,1,1,9.0092e-03,9.0092e-03,1.1469e-03,8.5305e-05
