MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.75,5,101,1.2975e-01,2.4555e+00,3.9991e+00,8.3969e-02
2.85,1,96,2.5949e-02,2.3257e+00,3.3606e+00,7.0562e-02
2.95,10,95,2.5949e-01,2.2998e+00,2.8240e+00,5.9295e-02
3.05,6,85,1.5570e-01,2.0403e+00,2.3731e+00,4.9827e-02
3.15,4,79,1.0380e-01,1.8846e+00,1.9941e+00,4.1871e-02
3.25,14,75,3.6329e-01,1.7808e+00,1.6757e+00,3.5184e-02
3.35,9,61,2.3354e-01,1.4175e+00,1.4081e+00,2.9565e-02
3.45,5,52,1.2975e-01,1.1840e+00,1.1832e+00,2.4843e-02
3.55,6,47,1.5570e-01,1.0542e+00,9.9417e-01,2.0874e-02
3.65,5,41,1.2975e-01,8.9852e-01,8.3534e-01,1.7539e-02
3.75,3,36,7.7848e-02,7.6877e-01,7.0186e-01,1.4737e-02
3.85,2,33,5.1898e-02,6.9092e-01,5.8970e-01,1.2382e-02
3.95,3,31,7.7848e-02,6.3903e-01,4.9543e-01,1.0403e-02
4.05,1,28,2.5949e-02,5.6118e-01,4.1622e-01,8.7393e-03
4.15,3,27,6.3109e-02,5.3523e-01,3.4965e-01,7.3415e-03
4.25,3,24,6.3109e-02,4.7212e-01,2.9371e-01,6.1669e-03
4.35,5,21,1.0518e-01,4.0901e-01,2.4670e-01,5.1798e-03
4.45,4,16,8.4145e-02,3.0383e-01,2.0719e-01,4.3503e-03
4.55,1,12,2.1036e-02,2.1968e-01,1.7399e-01,3.6532e-03
4.65,3,11,6.3109e-02,1.9865e-01,1.4609e-01,3.0673e-03
4.75,0,8,0.0000e+00,1.3554e-01,1.2264e-01,2.5750e-03
4.85,0,8,0.0000e+00,1.3554e-01,1.0293e-01,2.1613e-03
4.95,0,8,0.0000e+00,1.3554e-01,8.6376e-02,1.8136e-03
5.05,2,8,3.4760e-02,1.3554e-01,7.2460e-02,1.5214e-03
5.15,2,6,3.3593e-02,1.0078e-01,6.0766e-02,1.2759e-03
5.25,2,4,3.3593e-02,6.7185e-02,5.0939e-02,1.0696e-03
5.35,0,2,0.0000e+00,3.3593e-02,4.2680e-02,8.9615e-04
5.45,1,2,1.6796e-02,3.3593e-02,3.5740e-02,7.5042e-04
5.55,1,1,1.6796e-02,1.6796e-02,2.9908e-02,6.2796e-04
5.65,0,0,0.0000e+00,0.0000e+00,2.5006e-02,5.2505e-04
5.75,0,0,0.0000e+00,0.0000e+00,2.0887e-02,4.3857e-04
5.85,0,0,0.0000e+00,0.0000e+00,1.7426e-02,3.6589e-04
5.95,0,0,0.0000e+00,0.0000e+00,1.4517e-02,3.0481e-04
6.05,0,0,0.0000e+00,0.0000e+00,1.2073e-02,2.5349e-04
6.15,0,0,0.0000e+00,0.0000e+00,1.0018e-02,2.1035e-04
6.25,0,0,0.0000e+00,0.0000e+00,8.2920e-03,1.7410e-04
6.35,0,0,0.0000e+00,0.0000e+00,6.8412e-03,1.4364e-04
6.45,0,0,0.0000e+00,0.0000e+00,5.6220e-03,1.1804e-04
6.55,0,0,0.0000e+00,0.0000e+00,4.5974e-03,9.6532e-05
6.65,0,0,0.0000e+00,0.0000e+00,3.7364e-03,7.8453e-05
6.75,0,0,0.0000e+00,0.0000e+00,3.0129e-03,6.3261e-05
6.85,0,0,0.0000e+00,0.0000e+00,2.4048e-03,5.0493e-05
6.95,0,0,0.0000e+00,0.0000e+00,1.8938e-03,3.9764e-05
7.05,0,0,0.0000e+00,0.0000e+00,1.4644e-03,3.0748e-05
7.15,0,0,0.0000e+00,0.0000e+00,1.1035e-03,2.3171e-05
7.25,0,0,0.0000e+00,0.0000e+00,8.0026e-04,1.6803e-05
7.35,0,0,0.0000e+00,0.0000e+00,5.4541e-04,1.1452e-05
7.45,0,0,0.0000e+00,0.0000e+00,3.3123e-04,6.9549e-06
7.55,0,0,0.0000e+00,0.0000e+00,1.5125e-04,3.1758e-06
7.65,0,0,0.0000e+00,0.0000e+00,-1.2376e-18,-2.5986e-20
