MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.65,4,41,9.4036e-02,9.6387e-01,1.6110e+00,1.6639e-01
2.75,2,37,4.7018e-02,8.6983e-01,1.2950e+00,1.3375e-01
2.85,5,35,1.1755e-01,8.2282e-01,1.0410e+00,1.0751e-01
2.95,6,30,1.4105e-01,7.0527e-01,8.3676e-01,8.6423e-02
3.05,1,24,2.3509e-02,5.6422e-01,6.7261e-01,6.9470e-02
3.15,2,23,4.7018e-02,5.4071e-01,5.4066e-01,5.5842e-02
3.25,4,21,9.4036e-02,4.9369e-01,4.3460e-01,4.4887e-02
3.35,3,17,7.0527e-02,3.9965e-01,3.4934e-01,3.6081e-02
3.45,2,14,4.7018e-02,3.2913e-01,2.8080e-01,2.9002e-02
3.55,5,12,1.1755e-01,2.8211e-01,2.2571e-01,2.3312e-02
3.65,0,7,0.0000e+00,1.6456e-01,1.8143e-01,1.8739e-02
3.75,1,7,2.3509e-02,1.6456e-01,1.4583e-01,1.5062e-02
3.85,1,6,2.3509e-02,1.4105e-01,1.1722e-01,1.2106e-02
3.95,2,5,4.7018e-02,1.1755e-01,9.4214e-02,9.7307e-03
4.05,0,3,0.0000e+00,7.0527e-02,7.5724e-02,7.8210e-03
4.15,0,3,0.0000e+00,7.0527e-02,6.0861e-02,6.2860e-03
4.25,2,3,4.7018e-02,7.0527e-02,4.8914e-02,5.0520e-03
4.35,0,1,0.0000e+00,2.3509e-02,3.9310e-02,4.0601e-03
4.45,1,1,2.3509e-02,2.3509e-02,3.1590e-02,3.2627e-03
4.55,0,0,0.0000e+00,0.0000e+00,2.5385e-02,2.6218e-03
4.65,0,0,0.0000e+00,0.0000e+00,2.0396e-02,2.1066e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.6387e-02,1.6925e-03
4.85,0,0,0.0000e+00,0.0000e+00,1.3163e-02,1.3595e-03
4.95,0,0,0.0000e+00,0.0000e+00,1.0572e-02,1.0919e-03
5.05,0,0,0.0000e+00,0.0000e+00,8.4896e-03,8.7683e-04
5.15,0,0,0.0000e+00,0.0000e+00,6.8154e-03,7.0392e-04
5.25,0,0,0.0000e+00,0.0000e+00,5.4696e-03,5.6492e-04
5.35,0,0,0.0000e+00,0.0000e+00,4.3878e-03,4.5319e-04
5.45,0,0,0.0000e+00,0.0000e+00,3.5183e-03,3.6338e-04
5.55,0,0,0.0000e+00,0.0000e+00,2.8192e-03,2.9118e-04
5.65,0,0,0.0000e+00,0.0000e+00,2.2574e-03,2.3315e-04
5.75,0,0,0.0000e+00,0.0000e+00,1.8057e-03,1.8650e-04
5.85,0,0,0.0000e+00,0.0000e+00,1.4426e-03,1.4900e-04
5.95,0,0,0.0000e+00,0.0000e+00,1.1508e-03,1.1885e-04
6.05,0,0,0.0000e+00,0.0000e+00,9.1616e-04,9.4624e-05
6.15,0,0,0.0000e+00,0.0000e+00,7.2758e-04,7.5147e-05
6.25,0,0,0.0000e+00,0.0000e+00,5.7599e-04,5.9490e-05
6.35,0,0,0.0000e+00,0.0000e+00,4.5413e-04,4.6904e-05
6.45,0,0,0.0000e+00,0.0000e+00,3.5618e-04,3.6788e-05
6.55,0,0,0.0000e+00,0.0000e+00,2.7744e-04,2.8655e-05
6.65,0,0,0.0000e+00,0.0000e+00,2.1415e-04,2.2118e-05
6.75,0,0,0.0000e+00,0.0000e+00,1.6327e-04,1.6864e-05
6.85,0,0,0.0000e+00,0.0000e+00,1.2238e-04,1.2640e-05
6.95,0,0,0.0000e+00,0.0000e+00,8.9503e-05,9.2442e-06
7.05,0,0,0.0000e+00,0.0000e+00,6.3077e-05,6.5148e-06
7.15,0,0,0.0000e+00,0.0000e+00,4.1835e-05,4.3208e-06
7.25,0,0,0.0000e+00,0.0000e+00,2.4759e-05,2.5572e-06
7.35,0,0,0.0000e+00,0.0000e+00,1.1033e-05,1.1396e-06
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
