MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.45,0,8,0.0000e+00,2.1312e-01,2.4425e-01,1.8171e-03
3.55,3,8,7.9922e-02,2.1312e-01,2.1242e-01,1.5803e-03
3.65,1,5,2.6641e-02,1.3320e-01,1.8473e-01,1.3743e-03
3.75,1,4,2.6641e-02,1.0656e-01,1.6063e-01,1.1950e-03
3.85,0,3,0.0000e+00,7.9922e-02,1.3967e-01,1.0390e-03
3.95,0,3,0.0000e+00,7.9922e-02,1.2143e-01,9.0335e-04
4.05,1,3,2.6641e-02,7.9922e-02,1.0556e-01,7.8528e-04
4.15,0,2,0.0000e+00,5.3281e-02,9.1748e-02,6.8256e-04
4.25,0,2,0.0000e+00,5.3281e-02,7.9734e-02,5.9318e-04
4.35,1,2,2.6641e-02,5.3281e-02,6.9281e-02,5.1542e-04
4.45,0,1,0.0000e+00,2.6641e-02,6.0187e-02,4.4776e-04
4.55,0,1,0.0000e+00,2.6641e-02,5.2274e-02,3.8889e-04
4.65,0,1,0.0000e+00,2.6641e-02,4.5390e-02,3.3767e-04
4.75,0,1,0.0000e+00,2.6641e-02,3.9400e-02,2.9311e-04
4.85,0,1,0.0000e+00,2.6641e-02,3.4188e-02,2.5434e-04
4.95,0,1,0.0000e+00,2.6641e-02,2.9653e-02,2.2061e-04
5.05,0,1,0.0000e+00,2.6641e-02,2.5708e-02,1.9126e-04
5.15,1,1,2.6641e-02,2.6641e-02,2.2276e-02,1.6572e-04
5.25,0,0,0.0000e+00,0.0000e+00,1.9289e-02,1.4350e-04
5.35,0,0,0.0000e+00,0.0000e+00,1.6691e-02,1.2417e-04
5.45,0,0,0.0000e+00,0.0000e+00,1.4430e-02,1.0735e-04
5.55,0,0,0.0000e+00,0.0000e+00,1.2463e-02,9.2717e-05
5.65,0,0,0.0000e+00,0.0000e+00,1.0751e-02,7.9984e-05
5.75,0,0,0.0000e+00,0.0000e+00,9.2623e-03,6.8907e-05
5.85,0,0,0.0000e+00,0.0000e+00,7.9667e-03,5.9268e-05
5.95,0,0,0.0000e+00,0.0000e+00,6.8395e-03,5.0882e-05
6.05,0,0,0.0000e+00,0.0000e+00,5.8587e-03,4.3586e-05
6.15,0,0,0.0000e+00,0.0000e+00,5.0054e-03,3.7238e-05
6.25,0,0,0.0000e+00,0.0000e+00,4.2630e-03,3.1714e-05
6.35,0,0,0.0000e+00,0.0000e+00,3.6170e-03,2.6909e-05
6.45,0,0,0.0000e+00,0.0000e+00,3.0550e-03,2.2728e-05
6.55,0,0,0.0000e+00,0.0000e+00,2.5660e-03,1.9090e-05
6.65,0,0,0.0000e+00,0.0000e+00,2.1406e-03,1.5925e-05
6.75,0,0,0.0000e+00,0.0000e+00,1.7704e-03,1.3171e-05
6.85,0,0,0.0000e+00,0.0000e+00,1.4483e-03,1.0775e-05
6.95,0,0,0.0000e+00,0.0000e+00,1.1681e-03,8.6902e-06
7.05,0,0,0.0000e+00,0.0000e+00,9.2431e-04,6.8764e-06
7.15,0,0,0.0000e+00,0.0000e+00,7.1218e-04,5.2983e-06
7.25,0,0,0.0000e+00,0.0000e+00,5.2762e-04,3.9252e-06
7.35,0,0,0.0000e+00,0.0000e+00,3.6704e-04,2.7306e-06
7.45,0,0,0.0000e+00,0.0000e+00,2.2732e-04,1.6912e-06
7.55,0,0,0.0000e+00,0.0000e+00,1.0576e-04,7.8683e-07
7.65,0,0,0.0000e+00,0.0000e+00,-9.4348e-19,-7.0190e-21
