MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,19,124,6.1957e-01,3.5110e+00,2.0024e+00
3.05,15,105,4.8913e-01,2.8914e+00,1.7627e+00
3.15,13,90,4.2391e-01,2.4023e+00,1.5515e+00
3.25,20,77,6.5217e-01,1.9784e+00,1.3655e+00
3.35,6,57,1.9565e-01,1.3262e+00,1.2017e+00
3.45,5,51,1.2295e-01,1.1306e+00,1.0574e+00
3.55,2,46,4.9180e-02,1.0076e+00,9.3033e-01
3.65,9,44,2.2131e-01,9.5844e-01,8.1840e-01
3.75,1,35,2.4590e-02,7.3713e-01,7.1981e-01
3.85,6,34,1.4754e-01,7.1254e-01,6.3297e-01
3.95,3,28,6.5693e-02,5.6500e-01,5.5649e-01
4.05,3,25,6.5693e-02,4.9931e-01,4.8912e-01
4.15,3,22,6.5693e-02,4.3361e-01,4.2979e-01
4.25,3,19,6.5693e-02,3.6792e-01,3.7753e-01
4.35,3,16,6.5693e-02,3.0222e-01,3.3150e-01
4.45,1,13,2.0548e-02,2.3653e-01,2.9096e-01
4.55,1,12,2.0548e-02,2.1598e-01,2.5525e-01
4.65,1,11,2.0548e-02,1.9544e-01,2.2380e-01
4.75,0,10,0.0000e+00,1.7489e-01,1.9610e-01
4.85,2,10,4.1096e-02,1.7489e-01,1.7170e-01
4.95,1,8,1.8987e-02,1.3379e-01,1.5021e-01
5.05,3,7,5.6962e-02,1.1480e-01,1.3128e-01
5.15,0,4,0.0000e+00,5.7842e-02,1.1461e-01
5.25,1,4,1.8987e-02,5.7842e-02,9.9921e-02
5.35,0,3,0.0000e+00,3.8855e-02,8.6988e-02
5.45,1,3,1.8987e-02,3.8855e-02,7.5596e-02
5.55,0,2,0.0000e+00,1.9868e-02,6.5562e-02
5.65,0,2,0.0000e+00,1.9868e-02,5.6725e-02
5.75,0,2,0.0000e+00,1.9868e-02,4.8941e-02
5.85,0,2,0.0000e+00,1.9868e-02,4.2085e-02
5.95,1,2,9.9338e-03,1.9868e-02,3.6047e-02
6.05,0,1,0.0000e+00,9.9338e-03,3.0728e-02
6.15,1,1,9.9338e-03,9.9338e-03,2.6044e-02
6.25,0,0,0.0000e+00,0.0000e+00,2.1918e-02
6.35,0,0,0.0000e+00,0.0000e+00,1.8284e-02
6.45,0,0,0.0000e+00,0.0000e+00,1.5083e-02
6.55,0,0,0.0000e+00,0.0000e+00,1.2263e-02
6.65,0,0,0.0000e+00,0.0000e+00,9.7803e-03
6.75,0,0,0.0000e+00,0.0000e+00,7.5931e-03
6.85,0,0,0.0000e+00,0.0000e+00,5.6668e-03
6.95,0,0,0.0000e+00,0.0000e+00,3.9701e-03
7.05,0,0,0.0000e+00,0.0000e+00,2.4756e-03
7.15,0,0,0.0000e+00,0.0000e+00,1.1593e-03
7.25,0,0,0.0000e+00,0.0000e+00,0.0000e+00
