MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,1,4,3.2609e-02,1.1440e-01,1.1439e-01
3.05,0,3,0.0000e+00,8.1789e-02,9.0497e-02
3.15,1,3,3.2609e-02,8.1789e-02,7.1591e-02
3.25,0,2,0.0000e+00,4.9180e-02,5.6635e-02
3.35,0,2,0.0000e+00,4.9180e-02,4.4803e-02
3.45,1,2,2.4590e-02,4.9180e-02,3.5443e-02
3.55,1,1,2.4590e-02,2.4590e-02,2.8039e-02
3.65,0,0,0.0000e+00,0.0000e+00,2.2181e-02
3.75,0,0,0.0000e+00,0.0000e+00,1.7546e-02
3.85,0,0,0.0000e+00,0.0000e+00,1.3880e-02
3.95,0,0,0.0000e+00,0.0000e+00,1.0980e-02
4.05,0,0,0.0000e+00,0.0000e+00,8.6857e-03
4.15,0,0,0.0000e+00,0.0000e+00,6.8706e-03
4.25,0,0,0.0000e+00,0.0000e+00,5.4347e-03
4.35,0,0,0.0000e+00,0.0000e+00,4.2988e-03
4.45,0,0,0.0000e+00,0.0000e+00,3.4001e-03
4.55,0,0,0.0000e+00,0.0000e+00,2.6892e-03
4.65,0,0,0.0000e+00,0.0000e+00,2.1268e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.6819e-03
4.85,0,0,0.0000e+00,0.0000e+00,1.3299e-03
4.95,0,0,0.0000e+00,0.0000e+00,1.0515e-03
5.05,0,0,0.0000e+00,0.0000e+00,8.3117e-04
5.15,0,0,0.0000e+00,0.0000e+00,6.5691e-04
5.25,0,0,0.0000e+00,0.0000e+00,5.1905e-04
5.35,0,0,0.0000e+00,0.0000e+00,4.0999e-04
5.45,0,0,0.0000e+00,0.0000e+00,3.2372e-04
5.55,0,0,0.0000e+00,0.0000e+00,2.5546e-04
5.65,0,0,0.0000e+00,0.0000e+00,2.0147e-04
5.75,0,0,0.0000e+00,0.0000e+00,1.5875e-04
5.85,0,0,0.0000e+00,0.0000e+00,1.2496e-04
5.95,0,0,0.0000e+00,0.0000e+00,9.8225e-05
6.05,0,0,0.0000e+00,0.0000e+00,7.7077e-05
6.15,0,0,0.0000e+00,0.0000e+00,6.0346e-05
6.25,0,0,0.0000e+00,0.0000e+00,4.7111e-05
6.35,0,0,0.0000e+00,0.0000e+00,3.6640e-05
6.45,0,0,0.0000e+00,0.0000e+00,2.8357e-05
6.55,0,0,0.0000e+00,0.0000e+00,2.1804e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.6620e-05
6.75,0,0,0.0000e+00,0.0000e+00,1.2519e-05
6.85,0,0,0.0000e+00,0.0000e+00,9.2745e-06
6.95,0,0,0.0000e+00,0.0000e+00,6.7079e-06
7.05,0,0,0.0000e+00,0.0000e+00,4.6775e-06
7.15,0,0,0.0000e+00,0.0000e+00,3.0712e-06
7.25,0,0,0.0000e+00,0.0000e+00,1.8005e-06
7.35,0,0,0.0000e+00,0.0000e+00,7.9526e-07
7.45,0,0,0.0000e+00,0.0000e+00,-6.0184e-21
