MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,1,7,2.7273e-02,1.6817e-01,1.6816e-01
3.05,1,6,2.7273e-02,1.4089e-01,1.3538e-01
3.15,0,5,0.0000e+00,1.1362e-01,1.0898e-01
3.25,2,5,5.4545e-02,1.1362e-01,8.7737e-02
3.35,0,3,0.0000e+00,5.9076e-02,7.0632e-02
3.45,0,3,0.0000e+00,5.9076e-02,5.6862e-02
3.55,1,3,2.1429e-02,5.9076e-02,4.5775e-02
3.65,0,2,0.0000e+00,3.7648e-02,3.6850e-02
3.75,0,2,0.0000e+00,3.7648e-02,2.9665e-02
3.85,0,2,0.0000e+00,3.7648e-02,2.3880e-02
3.95,0,2,0.0000e+00,3.7648e-02,1.9223e-02
4.05,0,2,0.0000e+00,3.7648e-02,1.5474e-02
4.15,0,2,0.0000e+00,3.7648e-02,1.2456e-02
4.25,0,2,0.0000e+00,3.7648e-02,1.0026e-02
4.35,1,2,1.9355e-02,3.7648e-02,8.0695e-03
4.45,0,1,0.0000e+00,1.8293e-02,6.4945e-03
4.55,0,1,0.0000e+00,1.8293e-02,5.2266e-03
4.65,0,1,0.0000e+00,1.8293e-02,4.2059e-03
4.75,1,1,1.8293e-02,1.8293e-02,3.3841e-03
4.85,0,0,0.0000e+00,0.0000e+00,2.7225e-03
4.95,0,0,0.0000e+00,0.0000e+00,2.1899e-03
5.05,0,0,0.0000e+00,0.0000e+00,1.7611e-03
5.15,0,0,0.0000e+00,0.0000e+00,1.4159e-03
5.25,0,0,0.0000e+00,0.0000e+00,1.1380e-03
5.35,0,0,0.0000e+00,0.0000e+00,9.1427e-04
5.45,0,0,0.0000e+00,0.0000e+00,7.3415e-04
5.55,0,0,0.0000e+00,0.0000e+00,5.8914e-04
5.65,0,0,0.0000e+00,0.0000e+00,4.7240e-04
5.75,0,0,0.0000e+00,0.0000e+00,3.7842e-04
5.85,0,0,0.0000e+00,0.0000e+00,3.0275e-04
5.95,0,0,0.0000e+00,0.0000e+00,2.4184e-04
6.05,0,0,0.0000e+00,0.0000e+00,1.9280e-04
6.15,0,0,0.0000e+00,0.0000e+00,1.5332e-04
6.25,0,0,0.0000e+00,0.0000e+00,1.2153e-04
6.35,0,0,0.0000e+00,0.0000e+00,9.5946e-05
6.45,0,0,0.0000e+00,0.0000e+00,7.5346e-05
6.55,0,0,0.0000e+00,0.0000e+00,5.8762e-05
6.65,0,0,0.0000e+00,0.0000e+00,4.5410e-05
6.75,0,0,0.0000e+00,0.0000e+00,3.4661e-05
6.85,0,0,0.0000e+00,0.0000e+00,2.6008e-05
6.95,0,0,0.0000e+00,0.0000e+00,1.9041e-05
7.05,0,0,0.0000e+00,0.0000e+00,1.3433e-05
7.15,0,0,0.0000e+00,0.0000e+00,8.9175e-06
7.25,0,0,0.0000e+00,0.0000e+00,5.2825e-06
7.35,0,0,0.0000e+00,0.0000e+00,2.3560e-06
7.45,0,0,0.0000e+00,0.0000e+00,-1.9444e-20
