MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,3,25,9.7826e-02,6.9059e-01,6.9010e-01
3.05,4,22,1.3043e-01,5.9277e-01,5.8307e-01
3.15,2,18,6.5217e-02,4.6233e-01,4.9262e-01
3.25,4,16,1.3043e-01,3.9711e-01,4.1620e-01
3.35,1,12,3.2609e-02,2.6668e-01,3.5162e-01
3.45,2,11,4.9180e-02,2.3407e-01,2.9704e-01
3.55,1,9,2.4590e-02,1.8489e-01,2.5093e-01
3.65,0,8,0.0000e+00,1.6030e-01,2.1196e-01
3.75,0,8,0.0000e+00,1.6030e-01,1.7903e-01
3.85,1,8,2.4590e-02,1.6030e-01,1.5121e-01
3.95,1,7,2.1898e-02,1.3571e-01,1.2770e-01
4.05,0,6,0.0000e+00,1.1381e-01,1.0783e-01
4.15,1,6,2.1898e-02,1.1381e-01,9.1040e-02
4.25,1,5,2.1898e-02,9.1915e-02,7.6854e-02
4.35,0,4,0.0000e+00,7.0017e-02,6.4866e-02
4.45,1,4,2.0548e-02,7.0017e-02,5.4736e-02
4.55,0,3,0.0000e+00,4.9469e-02,4.6176e-02
4.65,0,3,0.0000e+00,4.9469e-02,3.8942e-02
4.75,0,3,0.0000e+00,4.9469e-02,3.2830e-02
4.85,1,3,2.0548e-02,4.9469e-02,2.7665e-02
4.95,0,2,0.0000e+00,2.8921e-02,2.3301e-02
5.05,1,2,1.8987e-02,2.8921e-02,1.9613e-02
5.15,0,1,0.0000e+00,9.9338e-03,1.6496e-02
5.25,0,1,0.0000e+00,9.9338e-03,1.3863e-02
5.35,0,1,0.0000e+00,9.9338e-03,1.1638e-02
5.45,0,1,0.0000e+00,9.9338e-03,9.7574e-03
5.55,0,1,0.0000e+00,9.9338e-03,8.1685e-03
5.65,0,1,0.0000e+00,9.9338e-03,6.8258e-03
5.75,0,1,0.0000e+00,9.9338e-03,5.6912e-03
5.85,0,1,0.0000e+00,9.9338e-03,4.7325e-03
5.95,0,1,0.0000e+00,9.9338e-03,3.9223e-03
6.05,0,1,0.0000e+00,9.9338e-03,3.2377e-03
6.15,1,1,9.9338e-03,9.9338e-03,2.6593e-03
6.25,0,0,0.0000e+00,0.0000e+00,2.1704e-03
6.35,0,0,0.0000e+00,0.0000e+00,1.7574e-03
6.45,0,0,0.0000e+00,0.0000e+00,1.4083e-03
6.55,0,0,0.0000e+00,0.0000e+00,1.1134e-03
6.65,0,0,0.0000e+00,0.0000e+00,8.6415e-04
6.75,0,0,0.0000e+00,0.0000e+00,6.5354e-04
6.85,0,0,0.0000e+00,0.0000e+00,4.7558e-04
6.95,0,0,0.0000e+00,0.0000e+00,3.2519e-04
7.05,0,0,0.0000e+00,0.0000e+00,1.9812e-04
7.15,0,0,0.0000e+00,0.0000e+00,9.0738e-05
7.25,0,0,0.0000e+00,0.0000e+00,0.0000e+00
