MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.45,1,8,3.2609e-02,2.0149e-01,2.1283e-01
2.55,1,7,3.2609e-02,1.6889e-01,1.6888e-01
2.65,1,6,3.2609e-02,1.3628e-01,1.3401e-01
2.75,0,5,0.0000e+00,1.0367e-01,1.0634e-01
2.85,0,5,0.0000e+00,1.0367e-01,8.4381e-02
2.95,0,5,0.0000e+00,1.0367e-01,6.6957e-02
3.05,0,5,0.0000e+00,1.0367e-01,5.3131e-02
3.15,0,5,0.0000e+00,1.0367e-01,4.2160e-02
3.25,3,5,6.5693e-02,1.0367e-01,3.3454e-02
3.35,0,2,0.0000e+00,3.7975e-02,2.6546e-02
3.45,0,2,0.0000e+00,3.7975e-02,2.1064e-02
3.55,0,2,0.0000e+00,3.7975e-02,1.6714e-02
3.65,0,2,0.0000e+00,3.7975e-02,1.3263e-02
3.75,0,2,0.0000e+00,3.7975e-02,1.0524e-02
3.85,0,2,0.0000e+00,3.7975e-02,8.3503e-03
3.95,0,2,0.0000e+00,3.7975e-02,6.6257e-03
4.05,0,2,0.0000e+00,3.7975e-02,5.2571e-03
4.15,1,2,1.8987e-02,3.7975e-02,4.1712e-03
4.25,1,1,1.8987e-02,1.8987e-02,3.3095e-03
4.35,0,0,0.0000e+00,0.0000e+00,2.6257e-03
4.45,0,0,0.0000e+00,0.0000e+00,2.0831e-03
4.55,0,0,0.0000e+00,0.0000e+00,1.6526e-03
4.65,0,0,0.0000e+00,0.0000e+00,1.3109e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.0398e-03
4.85,0,0,0.0000e+00,0.0000e+00,8.2469e-04
4.95,0,0,0.0000e+00,0.0000e+00,6.5399e-04
5.05,0,0,0.0000e+00,0.0000e+00,5.1853e-04
5.15,0,0,0.0000e+00,0.0000e+00,4.1105e-04
5.25,0,0,0.0000e+00,0.0000e+00,3.2575e-04
5.35,0,0,0.0000e+00,0.0000e+00,2.5807e-04
5.45,0,0,0.0000e+00,0.0000e+00,2.0437e-04
5.55,0,0,0.0000e+00,0.0000e+00,1.6175e-04
5.65,0,0,0.0000e+00,0.0000e+00,1.2793e-04
5.75,0,0,0.0000e+00,0.0000e+00,1.0110e-04
5.85,0,0,0.0000e+00,0.0000e+00,7.9807e-05
5.95,0,0,0.0000e+00,0.0000e+00,6.2910e-05
6.05,0,0,0.0000e+00,0.0000e+00,4.9503e-05
6.15,0,0,0.0000e+00,0.0000e+00,3.8864e-05
6.25,0,0,0.0000e+00,0.0000e+00,3.0421e-05
6.35,0,0,0.0000e+00,0.0000e+00,2.3722e-05
6.45,0,0,0.0000e+00,0.0000e+00,1.8406e-05
6.55,0,0,0.0000e+00,0.0000e+00,1.4188e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.0841e-05
6.75,0,0,0.0000e+00,0.0000e+00,8.1850e-06
6.85,0,0,0.0000e+00,0.0000e+00,6.0774e-06
6.95,0,0,0.0000e+00,0.0000e+00,4.4050e-06
7.05,0,0,0.0000e+00,0.0000e+00,3.0779e-06
7.15,0,0,0.0000e+00,0.0000e+00,2.0249e-06
7.25,0,0,0.0000e+00,0.0000e+00,1.1892e-06
7.35,0,0,0.0000e+00,0.0000e+00,5.2616e-07
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00
