MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,1,5,3.2609e-02,1.3580e-01,1.3579e-01
3.05,0,4,0.0000e+00,1.0319e-01,1.0880e-01
3.15,2,4,6.5217e-02,1.0319e-01,8.7166e-02
3.25,0,2,0.0000e+00,3.7975e-02,6.9836e-02
3.35,0,2,0.0000e+00,3.7975e-02,5.5951e-02
3.45,0,2,0.0000e+00,3.7975e-02,4.4826e-02
3.55,0,2,0.0000e+00,3.7975e-02,3.5914e-02
3.65,0,2,0.0000e+00,3.7975e-02,2.8773e-02
3.75,0,2,0.0000e+00,3.7975e-02,2.3051e-02
3.85,0,2,0.0000e+00,3.7975e-02,1.8467e-02
3.95,0,2,0.0000e+00,3.7975e-02,1.4795e-02
4.05,0,2,0.0000e+00,3.7975e-02,1.1852e-02
4.15,0,2,0.0000e+00,3.7975e-02,9.4946e-03
4.25,0,2,0.0000e+00,3.7975e-02,7.6058e-03
4.35,0,2,0.0000e+00,3.7975e-02,6.0925e-03
4.45,0,2,0.0000e+00,3.7975e-02,4.8800e-03
4.55,0,2,0.0000e+00,3.7975e-02,3.9086e-03
4.65,0,2,0.0000e+00,3.7975e-02,3.1303e-03
4.75,0,2,0.0000e+00,3.7975e-02,2.5067e-03
4.85,0,2,0.0000e+00,3.7975e-02,2.0071e-03
4.95,2,2,3.7975e-02,3.7975e-02,1.6068e-03
5.05,0,0,0.0000e+00,0.0000e+00,1.2861e-03
5.15,0,0,0.0000e+00,0.0000e+00,1.0292e-03
5.25,0,0,0.0000e+00,0.0000e+00,8.2332e-04
5.35,0,0,0.0000e+00,0.0000e+00,6.5838e-04
5.45,0,0,0.0000e+00,0.0000e+00,5.2624e-04
5.55,0,0,0.0000e+00,0.0000e+00,4.2036e-04
5.65,0,0,0.0000e+00,0.0000e+00,3.3553e-04
5.75,0,0,0.0000e+00,0.0000e+00,2.6757e-04
5.85,0,0,0.0000e+00,0.0000e+00,2.1312e-04
5.95,0,0,0.0000e+00,0.0000e+00,1.6949e-04
6.05,0,0,0.0000e+00,0.0000e+00,1.3454e-04
6.15,0,0,0.0000e+00,0.0000e+00,1.0653e-04
6.25,0,0,0.0000e+00,0.0000e+00,8.4097e-05
6.35,0,0,0.0000e+00,0.0000e+00,6.6120e-05
6.45,0,0,0.0000e+00,0.0000e+00,5.1718e-05
6.55,0,0,0.0000e+00,0.0000e+00,4.0178e-05
6.65,0,0,0.0000e+00,0.0000e+00,3.0933e-05
6.75,0,0,0.0000e+00,0.0000e+00,2.3526e-05
6.85,0,0,0.0000e+00,0.0000e+00,1.7591e-05
6.95,0,0,0.0000e+00,0.0000e+00,1.2836e-05
7.05,0,0,0.0000e+00,0.0000e+00,9.0266e-06
7.15,0,0,0.0000e+00,0.0000e+00,5.9744e-06
7.25,0,0,0.0000e+00,0.0000e+00,3.5290e-06
7.35,0,0,0.0000e+00,0.0000e+00,1.5697e-06
7.45,0,0,0.0000e+00,0.0000e+00,-1.2642e-20
