MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,1,9,3.2609e-02,2.4042e-01,2.4034e-01
3.05,1,8,3.2609e-02,2.0782e-01,2.0287e-01
3.15,2,7,6.5217e-02,1.7521e-01,1.7123e-01
3.25,0,5,0.0000e+00,1.0999e-01,1.4453e-01
3.35,1,5,3.2609e-02,1.0999e-01,1.2199e-01
3.45,1,4,2.4590e-02,7.7381e-02,1.0296e-01
3.55,0,3,0.0000e+00,5.2791e-02,8.6897e-02
3.65,0,3,0.0000e+00,5.2791e-02,7.3339e-02
3.75,1,3,2.4590e-02,5.2791e-02,6.1895e-02
3.85,0,2,0.0000e+00,2.8201e-02,5.2234e-02
3.95,0,2,0.0000e+00,2.8201e-02,4.4079e-02
4.05,0,2,0.0000e+00,2.8201e-02,3.7195e-02
4.15,0,2,0.0000e+00,2.8201e-02,3.1384e-02
4.25,0,2,0.0000e+00,2.8201e-02,2.6479e-02
4.35,0,2,0.0000e+00,2.8201e-02,2.2339e-02
4.45,0,2,0.0000e+00,2.8201e-02,1.8844e-02
4.55,0,2,0.0000e+00,2.8201e-02,1.5893e-02
4.65,0,2,0.0000e+00,2.8201e-02,1.3403e-02
4.75,1,2,2.0548e-02,2.8201e-02,1.1301e-02
4.85,0,1,0.0000e+00,7.6531e-03,9.5263e-03
4.95,0,1,0.0000e+00,7.6531e-03,8.0284e-03
5.05,0,1,0.0000e+00,7.6531e-03,6.7639e-03
5.15,0,1,0.0000e+00,7.6531e-03,5.6966e-03
5.25,0,1,0.0000e+00,7.6531e-03,4.7956e-03
5.35,0,1,0.0000e+00,7.6531e-03,4.0351e-03
5.45,0,1,0.0000e+00,7.6531e-03,3.3931e-03
5.55,0,1,0.0000e+00,7.6531e-03,2.8512e-03
5.65,0,1,0.0000e+00,7.6531e-03,2.3937e-03
5.75,0,1,0.0000e+00,7.6531e-03,2.0076e-03
5.85,0,1,0.0000e+00,7.6531e-03,1.6816e-03
5.95,0,1,0.0000e+00,7.6531e-03,1.4065e-03
6.05,0,1,0.0000e+00,7.6531e-03,1.1742e-03
6.15,0,1,0.0000e+00,7.6531e-03,9.7815e-04
6.25,0,1,0.0000e+00,7.6531e-03,8.1265e-04
6.35,0,1,0.0000e+00,7.6531e-03,6.7295e-04
6.45,1,1,7.6531e-03,7.6531e-03,5.5503e-04
6.55,0,0,0.0000e+00,0.0000e+00,4.5548e-04
6.65,0,0,0.0000e+00,0.0000e+00,3.7146e-04
6.75,0,0,0.0000e+00,0.0000e+00,3.0053e-04
6.85,0,0,0.0000e+00,0.0000e+00,2.4065e-04
6.95,0,0,0.0000e+00,0.0000e+00,1.9011e-04
7.05,0,0,0.0000e+00,0.0000e+00,1.4745e-04
7.15,0,0,0.0000e+00,0.0000e+00,1.1144e-04
7.25,0,0,0.0000e+00,0.0000e+00,8.1040e-05
7.35,0,0,0.0000e+00,0.0000e+00,5.5380e-05
7.45,0,0,0.0000e+00,0.0000e+00,3.3719e-05
7.55,0,0,0.0000e+00,0.0000e+00,1.5434e-05
7.65,0,0,0.0000e+00,0.0000e+00,0.0000e+00
