1959 11 02 0117 135.980 -33.360 10.0 4.3 MW ADE
1966 10 17 0027 135.995 -34.415 23.8 3.5 MW ADE
1971 07 09 1539 136.586 -33.512 12.0 3.0 MW ADE
1974 11 18 0411 136.720 -33.741 12.0 3.4 MW ADE
1975 10 02 0131 136.292 -33.514 13.5 2.8 MW ADE
1977 09 23 0040 135.802 -34.197 4.5 2.9 MW ADE
1979 09 06 2157 136.525 -33.764 10.2 2.9 MW ADE
1979 10 22 1113 136.955 -33.312 34.3 3.3 MW ADE
1980 04 15 0038 137.030 -33.263 31.0 4.1 MW ADE
1981 04 28 1209 136.543 -33.764 0.0 2.5 MW ADE
1981 05 20 1756 136.966 -33.294 28.7 3.2 MW ADE
1981 07 10 1343 135.878 -34.066 0.8 3.0 MW ADE
1982 06 05 0436 136.697 -33.396 23.6 2.5 MW ADE
1982 10 03 1325 135.828 -34.076 2.6 3.2 MW ADE
1982 10 12 1658 135.715 -34.126 2.1 3.0 MW ADE
1983 05 31 0634 135.860 -33.579 10.9 3.2 MW ADE
1983 11 07 1429 135.773 -34.031 0.0 2.5 MW ADE
1983 11 13 0001 136.971 -33.454 3.7 2.5 MW ADE
1983 12 20 1338 135.995 -33.529 30.2 2.9 MW ADE
1984 01 13 0144 136.240 -33.493 0.0 2.6 MW ADE
1984 09 28 1408 136.627 -33.575 7.9 2.5 MW ADE
1985 06 02 1656 136.946 -33.012 17.0 2.5 MW ADE
1986 05 16 0644 136.870 -33.311 25.0 2.5 MW ADE
1986 10 06 1248 136.771 -33.505 36.5 2.9 MW ADE
1989 04 09 0400 136.430 -33.940 1.0 2.5 MW ADE
1989 08 13 1917 136.449 -33.851 12.1 2.9 MW ADE
1989 09 07 0808 135.924 -33.551 21.1 2.7 MW ADE
1990 03 29 1408 136.011 -34.150 1.5 2.5 MW ADE
1990 10 05 2211 135.927 -33.394 7.2 2.5 MW ADE
1991 03 04 0014 136.336 -33.542 3.8 2.8 MW ADE
1991 07 17 1315 136.159 -33.976 9.0 2.6 MW ADE
1991 08 19 1858 135.999 -34.352 25.4 2.7 MW ADE
1992 10 28 0512 136.807 -33.577 5.4 2.5 MW ADE
1995 02 03 0604 136.538 -33.625 4.0 2.7 MW ADE
1995 03 06 1242 135.544 -33.931 6.8 2.8 MW ADE
1995 05 25 1351 136.291 -33.642 12.9 2.6 MW ADE
1996 06 09 0143 135.927 -34.171 9.6 3.3 MW ADE
1997 02 21 0623 136.343 -33.521 7.9 2.5 MW ADE
1998 02 26 1413 136.621 -33.347 27.7 3.8 MW ADE
1998 10 05 2024 135.880 -33.556 14.1 2.6 MW ADE
2001 03 12 0716 135.708 -34.032 9.1 2.5 MW ADE
2002 05 10 1142 135.887 -33.509 2.1 2.5 MW ADE
2003 02 01 0849 136.832 -33.427 32.5 3.1 MW ADE
2003 11 21 0850 135.909 -34.018 11.0 2.9 MW ADE
2003 12 03 0003 135.737 -34.191 5.0 2.8 MW ADE
2004 12 27 0337 136.859 -33.362 19.0 2.6 MW ADE
2005 01 06 2031 136.947 -33.427 15.4 2.5 MW ADE
2005 06 16 0429 135.561 -34.138 9.3 3.3 MW ADE
2006 01 20 0042 135.801 -34.095 9.5 2.5 MW ADE
2006 01 25 1158 135.562 -34.157 4.4 3.3 MW ADE
2006 02 10 2144 135.643 -34.164 8.1 2.5 MW ADE
2006 05 21 2127 136.617 -33.610 16.0 2.5 MW ADE
2006 10 04 1500 135.638 -34.171 10.1 2.9 MW ADE
2009 08 20 1157 135.676 -34.113 6.7 2.6 MW ADE
2010 06 05 2147 136.714 -33.559 15.0 4.5 MW AUST
