MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.45,18,55,5.8696e-01,1.5467e+00,1.1619e+00
2.55,6,37,1.9565e-01,9.5978e-01,9.5966e-01
2.65,3,31,9.7826e-02,7.6412e-01,7.9261e-01
2.75,4,28,1.1215e-01,6.6630e-01,6.5464e-01
2.85,7,24,1.9626e-01,5.5415e-01,5.4068e-01
2.95,3,17,6.5693e-02,3.5789e-01,4.4656e-01
3.05,1,14,2.1898e-02,2.9219e-01,3.6882e-01
3.15,3,13,6.5693e-02,2.7030e-01,3.0461e-01
3.25,4,10,8.7591e-02,2.0460e-01,2.5157e-01
3.35,1,6,2.0134e-02,1.1701e-01,2.0777e-01
3.45,1,5,2.0134e-02,9.6877e-02,1.7158e-01
3.55,0,4,0.0000e+00,7.6742e-02,1.4170e-01
3.65,0,4,0.0000e+00,7.6742e-02,1.1702e-01
3.75,1,4,2.0134e-02,7.6742e-02,9.6630e-02
3.85,0,3,0.0000e+00,5.6608e-02,7.9791e-02
3.95,0,3,0.0000e+00,5.6608e-02,6.5883e-02
4.05,1,3,1.8987e-02,5.6608e-02,5.4395e-02
4.15,0,2,0.0000e+00,3.7621e-02,4.4907e-02
4.25,1,2,1.8987e-02,3.7621e-02,3.7071e-02
4.35,0,1,0.0000e+00,1.8634e-02,3.0598e-02
4.45,1,1,1.8634e-02,1.8634e-02,2.5252e-02
4.55,0,0,0.0000e+00,0.0000e+00,2.0836e-02
4.65,0,0,0.0000e+00,0.0000e+00,1.7189e-02
4.75,0,0,0.0000e+00,0.0000e+00,1.4176e-02
4.85,0,0,0.0000e+00,0.0000e+00,1.1688e-02
4.95,0,0,0.0000e+00,0.0000e+00,9.6328e-03
5.05,0,0,0.0000e+00,0.0000e+00,7.9354e-03
5.15,0,0,0.0000e+00,0.0000e+00,6.5334e-03
5.25,0,0,0.0000e+00,0.0000e+00,5.3754e-03
5.35,0,0,0.0000e+00,0.0000e+00,4.4190e-03
5.45,0,0,0.0000e+00,0.0000e+00,3.6290e-03
5.55,0,0,0.0000e+00,0.0000e+00,2.9765e-03
5.65,0,0,0.0000e+00,0.0000e+00,2.4376e-03
5.75,0,0,0.0000e+00,0.0000e+00,1.9924e-03
5.85,0,0,0.0000e+00,0.0000e+00,1.6248e-03
5.95,0,0,0.0000e+00,0.0000e+00,1.3211e-03
6.05,0,0,0.0000e+00,0.0000e+00,1.0703e-03
6.15,0,0,0.0000e+00,0.0000e+00,8.6314e-04
6.25,0,0,0.0000e+00,0.0000e+00,6.9203e-04
6.35,0,0,0.0000e+00,0.0000e+00,5.5070e-04
6.45,0,0,0.0000e+00,0.0000e+00,4.3397e-04
6.55,0,0,0.0000e+00,0.0000e+00,3.3756e-04
6.65,0,0,0.0000e+00,0.0000e+00,2.5793e-04
6.75,0,0,0.0000e+00,0.0000e+00,1.9215e-04
6.85,0,0,0.0000e+00,0.0000e+00,1.3783e-04
6.95,0,0,0.0000e+00,0.0000e+00,9.2956e-05
7.05,0,0,0.0000e+00,0.0000e+00,5.5894e-05
7.15,0,0,0.0000e+00,0.0000e+00,2.5283e-05
7.25,0,0,0.0000e+00,0.0000e+00,0.0000e+00
