MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,0,3,0.0000e+00,7.0130e-02,1.6694e-01
3.05,0,3,0.0000e+00,7.0130e-02,1.3439e-01
3.15,0,3,0.0000e+00,7.0130e-02,1.0819e-01
3.25,0,3,0.0000e+00,7.0130e-02,8.7101e-02
3.35,1,3,2.7273e-02,7.0130e-02,7.0120e-02
3.45,0,2,0.0000e+00,4.2857e-02,5.6449e-02
3.55,1,2,2.1429e-02,4.2857e-02,4.5443e-02
3.65,1,1,2.1429e-02,2.1429e-02,3.6583e-02
3.75,0,0,0.0000e+00,0.0000e+00,2.9450e-02
3.85,0,0,0.0000e+00,0.0000e+00,2.3707e-02
3.95,0,0,0.0000e+00,0.0000e+00,1.9084e-02
4.05,0,0,0.0000e+00,0.0000e+00,1.5362e-02
4.15,0,0,0.0000e+00,0.0000e+00,1.2365e-02
4.25,0,0,0.0000e+00,0.0000e+00,9.9531e-03
4.35,0,0,0.0000e+00,0.0000e+00,8.0110e-03
4.45,0,0,0.0000e+00,0.0000e+00,6.4475e-03
4.55,0,0,0.0000e+00,0.0000e+00,5.1887e-03
4.65,0,0,0.0000e+00,0.0000e+00,4.1754e-03
4.75,0,0,0.0000e+00,0.0000e+00,3.3596e-03
4.85,0,0,0.0000e+00,0.0000e+00,2.7028e-03
4.95,0,0,0.0000e+00,0.0000e+00,2.1740e-03
5.05,0,0,0.0000e+00,0.0000e+00,1.7484e-03
5.15,0,0,0.0000e+00,0.0000e+00,1.4057e-03
5.25,0,0,0.0000e+00,0.0000e+00,1.1298e-03
5.35,0,0,0.0000e+00,0.0000e+00,9.0764e-04
5.45,0,0,0.0000e+00,0.0000e+00,7.2883e-04
5.55,0,0,0.0000e+00,0.0000e+00,5.8487e-04
5.65,0,0,0.0000e+00,0.0000e+00,4.6898e-04
5.75,0,0,0.0000e+00,0.0000e+00,3.7567e-04
5.85,0,0,0.0000e+00,0.0000e+00,3.0056e-04
5.95,0,0,0.0000e+00,0.0000e+00,2.4009e-04
6.05,0,0,0.0000e+00,0.0000e+00,1.9140e-04
6.15,0,0,0.0000e+00,0.0000e+00,1.5221e-04
6.25,0,0,0.0000e+00,0.0000e+00,1.2065e-04
6.35,0,0,0.0000e+00,0.0000e+00,9.5251e-05
6.45,0,0,0.0000e+00,0.0000e+00,7.4800e-05
6.55,0,0,0.0000e+00,0.0000e+00,5.8336e-05
6.65,0,0,0.0000e+00,0.0000e+00,4.5081e-05
6.75,0,0,0.0000e+00,0.0000e+00,3.4410e-05
6.85,0,0,0.0000e+00,0.0000e+00,2.5819e-05
6.95,0,0,0.0000e+00,0.0000e+00,1.8903e-05
7.05,0,0,0.0000e+00,0.0000e+00,1.3335e-05
7.15,0,0,0.0000e+00,0.0000e+00,8.8529e-06
7.25,0,0,0.0000e+00,0.0000e+00,5.2442e-06
7.35,0,0,0.0000e+00,0.0000e+00,2.3389e-06
7.45,0,0,0.0000e+00,0.0000e+00,-1.9304e-20
