1968 11 12 1023 124.000 -31.600 18.0 4.6 mb MGO
1972 07 22 0419 126.710 -28.030 0.0 4.7 mb MGO
1975 01 10 0820 126.110 -27.740 nan 5.6 mb MGO
1977 04 09 0947 117.440 -34.440 nan 3.5 ML MGO
1977 05 15 1916 117.950 -35.000 10.0 4.5 ML MGO
1977 06 02 1337 117.950 -35.000 nan 4.0 ML MGO
1980 12 24 0626 116.670 -34.690 nan 3.2 ML MGO
1984 02 03 1502 119.570 -34.370 10.0 3.3 ML MGO
1984 07 07 0439 126.659 -28.219 33.0 4.5 ML ISC
1986 03 16 0644 126.610 -28.100 5.0 3.6 ML MGO
1987 10 12 0453 118.470 -34.910 5.0 3.2 ML MGO
1987 12 13 1529 126.270 -29.610 5.0 3.5 ML MGO
1997 07 29 0742 125.807 -28.360 10.0 4.2 ML MEL
1999 01 12 0308 126.402 -27.780 10.0 3.7 ML ISC
1999 01 18 1450 126.410 -27.788 10.0 4.2 ML ISC
2000 11 11 2200 126.172 -27.637 2.0 3.3 ML ISC
2001 08 18 0205 122.555 -33.416 10.0 3.0 ML USGS
2004 03 01 2233 123.171 -32.423 1.7 3.1 ML AUST
2011 12 14 0549 123.152 -32.513 15.0 3.4 ML AUST
2013 12 07 2024 125.528 -31.506 10.0 3.1 ML AUST
2015 03 28 1214 128.154 -27.009 0.0 3.0 ML AUST
2016 06 10 0149 126.347 -28.009 0.0 3.4 ML AUST
