1910 12 04 1100 140.000 -10.000 0.0 6.8 MW ABE
1960 01 02 0926 138.620 -11.910 0.0 5.4 MW BMR
1988 11 02 1848 140.122 -15.114 10.0 3.3 MW BMR
1989 01 02 0808 140.282 -15.033 10.0 3.1 MW ISC
1989 10 04 0110 140.111 -15.248 10.0 3.0 MW BMR
1991 02 09 0124 139.800 -15.470 0.0 3.1 MW AUST
1994 12 24 0818 139.311 -11.208 5.0 3.3 MW AGSO
1998 03 29 0350 139.168 -12.360 35.0 4.6 MW EHB
1998 03 29 1314 139.256 -12.406 0.0 3.3 MW AUST
1998 03 29 1341 139.256 -12.406 10.0 3.3 MW AGSO
1998 05 16 1555 139.324 -12.223 10.0 3.4 MW ISC
2000 08 08 2310 142.309 -10.647 4.0 4.3 MW ISC
2009 11 08 0541 138.819 -10.450 30.0 3.0 MW MEL
