MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,1,11,3.2609e-02,2.9179e-01,2.9163e-01
3.05,1,10,3.2609e-02,2.5918e-01,2.4671e-01
3.15,0,9,0.0000e+00,2.2657e-01,2.0870e-01
3.25,2,9,6.5217e-02,2.2657e-01,1.7654e-01
3.35,0,7,0.0000e+00,1.6135e-01,1.4933e-01
3.45,0,7,0.0000e+00,1.6135e-01,1.2632e-01
3.55,1,7,2.4590e-02,1.6135e-01,1.0684e-01
3.65,2,6,4.9180e-02,1.3676e-01,9.0369e-02
3.75,1,4,2.4590e-02,8.7584e-02,7.6431e-02
3.85,0,3,0.0000e+00,6.2994e-02,6.4639e-02
3.95,0,3,0.0000e+00,6.2994e-02,5.4662e-02
4.05,1,3,2.1898e-02,6.2994e-02,4.6222e-02
4.15,0,2,0.0000e+00,4.1096e-02,3.9081e-02
4.25,0,2,0.0000e+00,4.1096e-02,3.3039e-02
4.35,0,2,0.0000e+00,4.1096e-02,2.7928e-02
4.45,0,2,0.0000e+00,4.1096e-02,2.3604e-02
4.55,0,2,0.0000e+00,4.1096e-02,1.9945e-02
4.65,1,2,2.0548e-02,4.1096e-02,1.6850e-02
4.75,0,1,0.0000e+00,2.0548e-02,1.4231e-02
4.85,1,1,2.0548e-02,2.0548e-02,1.2016e-02
4.95,0,0,0.0000e+00,0.0000e+00,1.0142e-02
5.05,0,0,0.0000e+00,0.0000e+00,8.5559e-03
5.15,0,0,0.0000e+00,0.0000e+00,7.2143e-03
5.25,0,0,0.0000e+00,0.0000e+00,6.0793e-03
5.35,0,0,0.0000e+00,0.0000e+00,5.1190e-03
5.45,0,0,0.0000e+00,0.0000e+00,4.3066e-03
5.55,0,0,0.0000e+00,0.0000e+00,3.6192e-03
5.65,0,0,0.0000e+00,0.0000e+00,3.0377e-03
5.75,0,0,0.0000e+00,0.0000e+00,2.5457e-03
5.85,0,0,0.0000e+00,0.0000e+00,2.1295e-03
5.95,0,0,0.0000e+00,0.0000e+00,1.7774e-03
6.05,0,0,0.0000e+00,0.0000e+00,1.4795e-03
6.15,0,0,0.0000e+00,0.0000e+00,1.2274e-03
6.25,0,0,0.0000e+00,0.0000e+00,1.0142e-03
6.35,0,0,0.0000e+00,0.0000e+00,8.3376e-04
6.45,0,0,0.0000e+00,0.0000e+00,6.8112e-04
6.55,0,0,0.0000e+00,0.0000e+00,5.5199e-04
6.65,0,0,0.0000e+00,0.0000e+00,4.4274e-04
6.75,0,0,0.0000e+00,0.0000e+00,3.5031e-04
6.85,0,0,0.0000e+00,0.0000e+00,2.7212e-04
6.95,0,0,0.0000e+00,0.0000e+00,2.0596e-04
7.05,0,0,0.0000e+00,0.0000e+00,1.4999e-04
7.15,0,0,0.0000e+00,0.0000e+00,1.0263e-04
7.25,0,0,0.0000e+00,0.0000e+00,6.2570e-05
7.35,0,0,0.0000e+00,0.0000e+00,2.8676e-05
7.45,0,0,0.0000e+00,0.0000e+00,-2.4491e-19
