MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,7,22,2.2826e-01,6.5588e-01,6.5588e-01
3.05,5,15,1.6304e-01,4.2762e-01,4.9287e-01
3.15,1,10,3.2609e-02,2.6457e-01,3.7038e-01
3.25,1,9,3.2609e-02,2.3196e-01,2.7833e-01
3.35,1,8,3.2609e-02,1.9936e-01,2.0916e-01
3.45,2,7,4.9180e-02,1.6675e-01,1.5718e-01
3.55,1,5,2.4590e-02,1.1757e-01,1.1812e-01
3.65,0,4,0.0000e+00,9.2976e-02,8.8762e-02
3.75,2,4,4.9180e-02,9.2976e-02,6.6702e-02
3.85,0,2,0.0000e+00,4.3796e-02,5.0125e-02
3.95,2,2,4.3796e-02,4.3796e-02,3.7667e-02
4.05,0,0,0.0000e+00,0.0000e+00,2.8305e-02
4.15,0,0,0.0000e+00,0.0000e+00,2.1271e-02
4.25,0,0,0.0000e+00,0.0000e+00,1.5984e-02
4.35,0,0,0.0000e+00,0.0000e+00,1.2011e-02
4.45,0,0,0.0000e+00,0.0000e+00,9.0256e-03
4.55,0,0,0.0000e+00,0.0000e+00,6.7821e-03
4.65,0,0,0.0000e+00,0.0000e+00,5.0962e-03
4.75,0,0,0.0000e+00,0.0000e+00,3.8293e-03
4.85,0,0,0.0000e+00,0.0000e+00,2.8772e-03
4.95,0,0,0.0000e+00,0.0000e+00,2.1617e-03
5.05,0,0,0.0000e+00,0.0000e+00,1.6240e-03
5.15,0,0,0.0000e+00,0.0000e+00,1.2200e-03
5.25,0,0,0.0000e+00,0.0000e+00,9.1638e-04
5.35,0,0,0.0000e+00,0.0000e+00,6.8822e-04
5.45,0,0,0.0000e+00,0.0000e+00,5.1675e-04
5.55,0,0,0.0000e+00,0.0000e+00,3.8790e-04
5.65,0,0,0.0000e+00,0.0000e+00,2.9108e-04
5.75,0,0,0.0000e+00,0.0000e+00,2.1831e-04
5.85,0,0,0.0000e+00,0.0000e+00,1.6363e-04
5.95,0,0,0.0000e+00,0.0000e+00,1.2254e-04
6.05,0,0,0.0000e+00,0.0000e+00,9.1661e-05
6.15,0,0,0.0000e+00,0.0000e+00,6.8456e-05
6.25,0,0,0.0000e+00,0.0000e+00,5.1018e-05
6.35,0,0,0.0000e+00,0.0000e+00,3.7914e-05
6.45,0,0,0.0000e+00,0.0000e+00,2.8067e-05
6.55,0,0,0.0000e+00,0.0000e+00,2.0666e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.5105e-05
6.75,0,0,0.0000e+00,0.0000e+00,1.0926e-05
6.85,0,0,0.0000e+00,0.0000e+00,7.7858e-06
6.95,0,0,0.0000e+00,0.0000e+00,5.4259e-06
7.05,0,0,0.0000e+00,0.0000e+00,3.6524e-06
7.15,0,0,0.0000e+00,0.0000e+00,2.3197e-06
7.25,0,0,0.0000e+00,0.0000e+00,1.3182e-06
7.35,0,0,0.0000e+00,0.0000e+00,5.6557e-07
7.45,0,0,0.0000e+00,0.0000e+00,-4.1770e-21
