MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,3,29,8.1818e-02,6.5277e-01,6.5071e-01
3.05,2,26,5.4545e-02,5.7095e-01,5.7258e-01
3.15,0,24,0.0000e+00,5.1640e-01,5.0380e-01
3.25,3,24,8.1818e-02,5.1640e-01,4.4325e-01
3.35,1,21,2.7273e-02,4.3458e-01,3.8995e-01
3.45,7,20,1.5000e-01,4.0731e-01,3.4303e-01
3.55,2,13,4.2857e-02,2.5731e-01,3.0172e-01
3.65,2,11,4.2857e-02,2.1446e-01,2.6536e-01
3.75,1,9,2.1429e-02,1.7160e-01,2.3335e-01
3.85,1,8,2.1429e-02,1.5017e-01,2.0517e-01
3.95,1,7,1.9355e-02,1.2874e-01,1.8036e-01
4.05,0,6,0.0000e+00,1.0939e-01,1.5852e-01
4.15,1,6,1.9355e-02,1.0939e-01,1.3930e-01
4.25,0,5,0.0000e+00,9.0031e-02,1.2237e-01
4.35,1,5,1.9355e-02,9.0031e-02,1.0748e-01
4.45,1,4,1.8293e-02,7.0676e-02,9.4361e-02
4.55,0,3,0.0000e+00,5.2384e-02,8.2816e-02
4.65,0,3,0.0000e+00,5.2384e-02,7.2652e-02
4.75,1,3,1.8293e-02,5.2384e-02,6.3705e-02
4.85,0,2,0.0000e+00,3.4091e-02,5.5828e-02
4.95,0,2,0.0000e+00,3.4091e-02,4.8894e-02
5.05,0,2,0.0000e+00,3.4091e-02,4.2791e-02
5.15,0,2,0.0000e+00,3.4091e-02,3.7417e-02
5.25,0,2,0.0000e+00,3.4091e-02,3.2687e-02
5.35,0,2,0.0000e+00,3.4091e-02,2.8523e-02
5.45,1,2,1.7045e-02,3.4091e-02,2.4857e-02
5.55,1,1,1.7045e-02,1.7045e-02,2.1630e-02
5.65,0,0,0.0000e+00,0.0000e+00,1.8789e-02
5.75,0,0,0.0000e+00,0.0000e+00,1.6288e-02
5.85,0,0,0.0000e+00,0.0000e+00,1.4087e-02
5.95,0,0,0.0000e+00,0.0000e+00,1.2149e-02
6.05,0,0,0.0000e+00,0.0000e+00,1.0443e-02
6.15,0,0,0.0000e+00,0.0000e+00,8.9407e-03
6.25,0,0,0.0000e+00,0.0000e+00,7.6185e-03
6.35,0,0,0.0000e+00,0.0000e+00,6.4546e-03
6.45,0,0,0.0000e+00,0.0000e+00,5.4300e-03
6.55,0,0,0.0000e+00,0.0000e+00,4.5280e-03
6.65,0,0,0.0000e+00,0.0000e+00,3.7340e-03
6.75,0,0,0.0000e+00,0.0000e+00,3.0350e-03
6.85,0,0,0.0000e+00,0.0000e+00,2.4196e-03
6.95,0,0,0.0000e+00,0.0000e+00,1.8779e-03
7.05,0,0,0.0000e+00,0.0000e+00,1.4011e-03
7.15,0,0,0.0000e+00,0.0000e+00,9.8126e-04
7.25,0,0,0.0000e+00,0.0000e+00,6.1171e-04
7.35,0,0,0.0000e+00,0.0000e+00,2.8639e-04
7.45,0,0,0.0000e+00,0.0000e+00,-2.3387e-18
