MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,0,2,0.0000e+00,5.7199e-02,7.2178e-02
3.05,1,2,3.2609e-02,5.7199e-02,5.7197e-02
3.15,0,1,0.0000e+00,2.4590e-02,4.5325e-02
3.25,0,1,0.0000e+00,2.4590e-02,3.5917e-02
3.35,0,1,0.0000e+00,2.4590e-02,2.8462e-02
3.45,0,1,0.0000e+00,2.4590e-02,2.2554e-02
3.55,1,1,2.4590e-02,2.4590e-02,1.7873e-02
3.65,0,0,0.0000e+00,0.0000e+00,1.4163e-02
3.75,0,0,0.0000e+00,0.0000e+00,1.1223e-02
3.85,0,0,0.0000e+00,0.0000e+00,8.8931e-03
3.95,0,0,0.0000e+00,0.0000e+00,7.0469e-03
4.05,0,0,0.0000e+00,0.0000e+00,5.5839e-03
4.15,0,0,0.0000e+00,0.0000e+00,4.4245e-03
4.25,0,0,0.0000e+00,0.0000e+00,3.5058e-03
4.35,0,0,0.0000e+00,0.0000e+00,2.7777e-03
4.45,0,0,0.0000e+00,0.0000e+00,2.2008e-03
4.55,0,0,0.0000e+00,0.0000e+00,1.7436e-03
4.65,0,0,0.0000e+00,0.0000e+00,1.3813e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.0942e-03
4.85,0,0,0.0000e+00,0.0000e+00,8.6664e-04
4.95,0,0,0.0000e+00,0.0000e+00,6.8634e-04
5.05,0,0,0.0000e+00,0.0000e+00,5.4346e-04
5.15,0,0,0.0000e+00,0.0000e+00,4.3024e-04
5.25,0,0,0.0000e+00,0.0000e+00,3.4052e-04
5.35,0,0,0.0000e+00,0.0000e+00,2.6942e-04
5.45,0,0,0.0000e+00,0.0000e+00,2.1307e-04
5.55,0,0,0.0000e+00,0.0000e+00,1.6842e-04
5.65,0,0,0.0000e+00,0.0000e+00,1.3304e-04
5.75,0,0,0.0000e+00,0.0000e+00,1.0500e-04
5.85,0,0,0.0000e+00,0.0000e+00,8.2783e-05
5.95,0,0,0.0000e+00,0.0000e+00,6.5176e-05
6.05,0,0,0.0000e+00,0.0000e+00,5.1223e-05
6.15,0,0,0.0000e+00,0.0000e+00,4.0165e-05
6.25,0,0,0.0000e+00,0.0000e+00,3.1403e-05
6.35,0,0,0.0000e+00,0.0000e+00,2.4460e-05
6.45,0,0,0.0000e+00,0.0000e+00,1.8957e-05
6.55,0,0,0.0000e+00,0.0000e+00,1.4597e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.1141e-05
6.75,0,0,0.0000e+00,0.0000e+00,8.4031e-06
6.85,0,0,0.0000e+00,0.0000e+00,6.2332e-06
6.95,0,0,0.0000e+00,0.0000e+00,4.5136e-06
7.05,0,0,0.0000e+00,0.0000e+00,3.1510e-06
7.15,0,0,0.0000e+00,0.0000e+00,2.0712e-06
7.25,0,0,0.0000e+00,0.0000e+00,1.2155e-06
7.35,0,0,0.0000e+00,0.0000e+00,5.3736e-07
7.45,0,0,0.0000e+00,0.0000e+00,-4.1001e-21
