MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,19,95,5.1818e-01,2.2152e+00,2.2093e+00
3.05,6,76,1.6364e-01,1.6970e+00,1.9245e+00
3.15,7,70,1.9091e-01,1.5333e+00,1.6764e+00
3.25,5,63,1.3636e-01,1.3424e+00,1.4602e+00
3.35,7,58,1.9091e-01,1.2061e+00,1.2717e+00
3.45,5,51,1.0714e-01,1.0152e+00,1.1075e+00
3.55,6,46,1.2857e-01,9.0801e-01,9.6436e-01
3.65,7,40,1.5000e-01,7.7944e-01,8.3963e-01
3.75,5,33,1.0714e-01,6.2944e-01,7.3094e-01
3.85,2,28,4.2857e-02,5.2230e-01,6.3622e-01
3.95,4,26,7.7419e-02,4.7944e-01,5.5368e-01
4.05,2,22,3.8710e-02,4.0202e-01,4.8174e-01
4.15,4,20,7.7419e-02,3.6331e-01,4.1905e-01
4.25,0,16,0.0000e+00,2.8589e-01,3.6442e-01
4.35,3,16,5.8065e-02,2.8589e-01,3.1681e-01
4.45,2,13,3.6585e-02,2.2783e-01,2.7532e-01
4.55,1,11,1.8293e-02,1.9124e-01,2.3917e-01
4.65,0,10,0.0000e+00,1.7295e-01,2.0766e-01
4.75,1,10,1.8293e-02,1.7295e-01,1.8020e-01
4.85,1,9,1.8293e-02,1.5466e-01,1.5627e-01
4.95,2,8,3.4091e-02,1.3636e-01,1.3541e-01
5.05,2,6,3.4091e-02,1.0227e-01,1.1724e-01
5.15,1,4,1.7045e-02,6.8182e-02,1.0140e-01
5.25,0,3,0.0000e+00,5.1136e-02,8.7602e-02
5.35,2,3,3.4091e-02,5.1136e-02,7.5574e-02
5.45,1,1,1.7045e-02,1.7045e-02,6.5092e-02
5.55,0,0,0.0000e+00,0.0000e+00,5.5958e-02
5.65,0,0,0.0000e+00,0.0000e+00,4.7998e-02
5.75,0,0,0.0000e+00,0.0000e+00,4.1060e-02
5.85,0,0,0.0000e+00,0.0000e+00,3.5015e-02
5.95,0,0,0.0000e+00,0.0000e+00,2.9747e-02
6.05,0,0,0.0000e+00,0.0000e+00,2.5155e-02
6.15,0,0,0.0000e+00,0.0000e+00,2.1154e-02
6.25,0,0,0.0000e+00,0.0000e+00,1.7668e-02
6.35,0,0,0.0000e+00,0.0000e+00,1.4629e-02
6.45,0,0,0.0000e+00,0.0000e+00,1.1981e-02
6.55,0,0,0.0000e+00,0.0000e+00,9.6734e-03
6.65,0,0,0.0000e+00,0.0000e+00,7.6624e-03
6.75,0,0,0.0000e+00,0.0000e+00,5.9098e-03
6.85,0,0,0.0000e+00,0.0000e+00,4.3825e-03
6.95,0,0,0.0000e+00,0.0000e+00,3.0516e-03
7.05,0,0,0.0000e+00,0.0000e+00,1.8917e-03
7.15,0,0,0.0000e+00,0.0000e+00,8.8088e-04
7.25,0,0,0.0000e+00,0.0000e+00,0.0000e+00
