MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,6,35,1.6364e-01,8.3205e-01,8.3148e-01
3.05,4,29,1.0909e-01,6.6842e-01,7.0728e-01
3.15,2,25,5.4545e-02,5.5933e-01,6.0162e-01
3.25,3,23,8.1818e-02,5.0478e-01,5.1173e-01
3.35,2,20,5.4545e-02,4.2296e-01,4.3525e-01
3.45,5,18,1.0714e-01,3.6842e-01,3.7020e-01
3.55,4,13,8.5714e-02,2.6127e-01,3.1485e-01
3.65,1,9,2.1429e-02,1.7556e-01,2.6777e-01
3.75,1,8,2.1429e-02,1.5413e-01,2.2771e-01
3.85,2,7,4.2857e-02,1.3270e-01,1.9363e-01
3.95,1,5,1.9355e-02,8.9846e-02,1.6464e-01
4.05,0,4,0.0000e+00,7.0491e-02,1.3998e-01
4.15,0,4,0.0000e+00,7.0491e-02,1.1900e-01
4.25,1,4,1.9355e-02,7.0491e-02,1.0115e-01
4.35,0,3,0.0000e+00,5.1136e-02,8.5965e-02
4.45,0,3,0.0000e+00,5.1136e-02,7.3047e-02
4.55,0,3,0.0000e+00,5.1136e-02,6.2057e-02
4.65,0,3,0.0000e+00,5.1136e-02,5.2708e-02
4.75,0,3,0.0000e+00,5.1136e-02,4.4754e-02
4.85,0,3,0.0000e+00,5.1136e-02,3.7987e-02
4.95,1,3,1.7045e-02,5.1136e-02,3.2231e-02
5.05,0,2,0.0000e+00,3.4091e-02,2.7334e-02
5.15,0,2,0.0000e+00,3.4091e-02,2.3167e-02
5.25,0,2,0.0000e+00,3.4091e-02,1.9623e-02
5.35,1,2,1.7045e-02,3.4091e-02,1.6608e-02
5.45,1,1,1.7045e-02,1.7045e-02,1.4043e-02
5.55,0,0,0.0000e+00,0.0000e+00,1.1861e-02
5.65,0,0,0.0000e+00,0.0000e+00,1.0004e-02
5.75,0,0,0.0000e+00,0.0000e+00,8.4247e-03
5.85,0,0,0.0000e+00,0.0000e+00,7.0811e-03
5.95,0,0,0.0000e+00,0.0000e+00,5.9380e-03
6.05,0,0,0.0000e+00,0.0000e+00,4.9656e-03
6.15,0,0,0.0000e+00,0.0000e+00,4.1383e-03
6.25,0,0,0.0000e+00,0.0000e+00,3.4345e-03
6.35,0,0,0.0000e+00,0.0000e+00,2.8358e-03
6.45,0,0,0.0000e+00,0.0000e+00,2.3265e-03
6.55,0,0,0.0000e+00,0.0000e+00,1.8931e-03
6.65,0,0,0.0000e+00,0.0000e+00,1.5245e-03
6.75,0,0,0.0000e+00,0.0000e+00,1.2109e-03
6.85,0,0,0.0000e+00,0.0000e+00,9.4410e-04
6.95,0,0,0.0000e+00,0.0000e+00,7.1713e-04
7.05,0,0,0.0000e+00,0.0000e+00,5.2404e-04
7.15,0,0,0.0000e+00,0.0000e+00,3.5977e-04
7.25,0,0,0.0000e+00,0.0000e+00,2.2003e-04
7.35,0,0,0.0000e+00,0.0000e+00,1.0114e-04
7.45,0,0,0.0000e+00,0.0000e+00,-7.6794e-19
